SWIMM_Trials.derivitive_graph_1()
Pathways per Point: 500
Timesteps per Pathway: 500
Best Policy: [-1590, 20, 0]

DATA
P1,P2,dP1/dObj,dP2/dObj,P1_STATUS,P2_STATUS
11,-2400,47856.0327074,2477910.67997,-1,1
11,-2300,60577.2565916,3020165.86485,-1,1
11,-2200,61485.9154405,3042520.30372,-1,1
11,-2100,60577.2565916,3015150.69676,-1,1
11,-2000,69663.8450804,3481171.07526,-1,1
11,-1900,53307.9858006,2679475.02658,-1,1
11,-1800,63303.2331383,3202213.71494,-1,1
11,-1700,56942.6211961,2814890.98628,-1,1
11,-1600,52399.326952,2588860.21578,-1,1
11,-1500,52399.3269518,2675080.43695,-1,1
11,-1400,59668.5977428,2939000.19128,-1,1
11,-1300,76024.4570225,3666203.13601,-1,1
11,-1200,62394.5742894,3084174.9931,-1,1
11,-1100,62899.1684884,3072803.72565,-1,1
11,-1000,63303.2331383,3228855.53796,-1,1
11,-900,64211.8919871,3200625.20301,-1,1
11,-800,71481.1627781,3539971.75189,-1,1
11,-700,61485.9154405,3080296.93996,-1,1
11,-600,59949.1561488,2968700.31986,-1,1
11,-500,64505.5754432,3127076.76134,-1,1
12,-2500,52399.3269518,2656487.68327,-1,1
12,-2400,78750.4335691,3896225.56999,-1,1
12,-2300,54216.6446495,2716873.4262,-1,1
12,-2200,70139.369369,3487250.63783,-1,1
12,-2100,46947.3738585,2464714.99237,-1,1
12,-2000,61485.9154405,3179905.91806,-1,1
12,-1900,61485.9154405,3053781.91447,-1,1
12,-1800,70572.5039293,3529281.14852,-1,1
12,-1700,58759.9388939,3022907.66116,-1,1
12,-1600,73298.4804759,3546394.76516,-1,1
12,-1500,49673.3504051,2544897.69244,-1,1
12,-1400,61176.8590105,2820150.16301,-1,1
12,-1300,59742.2956423,3051452.45659,-1,1
12,-1200,74207.1393248,3591320.42834,-1,1
12,-1100,55125.3034984,2815459.90521,-1,1
12,-1000,59668.5987481,3037529.7885,-1,1
12,-900,64211.8919871,3131977.42065,-1,1
12,-800,61485.9154405,3129802.846,-1,1
12,-700,57851.280045,2845357.08609,-1,1
12,-600,57851.280045,2802545.28126,-1,1
12,-500,67846.5273826,3348025.52411,-1,1
13,-2500,63303.2331383,3047636.32925,-1,1
13,-2400,73298.4804759,3541859.2073,-1,1
13,-2300,56033.9623473,2757557.57508,-1,1
13,-2200,66029.2096849,3295012.94774,-1,1
13,-2100,56942.6211961,2872035.39054,-1,1
13,-2000,56942.6211961,2820986.12513,-1,1
13,-1900,73298.4804759,3548891.17703,-1,1
13,-1800,67846.5273826,3456226.63356,-1,1
13,-1700,66586.6219378,2426918.96364,-1,1
13,-1600,50590.8128419,2756071.94164,-1,1
13,-1500,49673.3504051,2517208.84296,-1,1
13,-1400,54216.6446495,2741941.53111,-1,1
13,-1300,52399.3269518,2678002.40953,-1,1
13,-1200,47856.0327074,2423620.5915,-1,1
13,-1100,58759.9388939,2885751.65476,-1,1
13,-1000,57851.280045,2846418.38757,-1,1
13,-900,47856.0327074,2491951.91037,-1,1
13,-800,64211.8919871,3230541.94523,-1,1
13,-700,70572.5039293,3445162.95125,-1,1
13,-600,75115.7981793,3637778.05678,-1,1
13,-500,65120.5508367,3154877.83903,-1,1
14,-2500,65120.550836,3203320.02686,-1,1
14,-2400,61485.9154405,3156090.19456,-1,1
14,-2300,56109.6422181,2921512.28502,-1,1
14,-2200,50582.009254,2619927.64673,-1,1
14,-2100,48764.6916849,2484927.37936,-1,1
14,-2000,56942.6211961,2793302.59886,-1,1
14,-1900,57851.280045,2872867.32808,-1,1
14,-1800,66937.8685338,3216102.04077,-1,1
14,-1700,68755.1862315,3367476.62291,-1,1
14,-1600,67846.5273826,3365776.44783,-1,1
14,-1500,52399.3269518,2672079.08402,-1,1
14,-1400,56942.6211961,2815525.82951,-1,1
14,-1300,55125.3034984,2761990.05867,-1,1
14,-1200,56942.6211961,2812731.61236,-1,1
14,-1100,69663.8450804,3343763.52557,-1,1
14,-1000,46947.3738585,2472727.05858,-1,1
14,-900,52943.8619989,2707858.59483,-1,1
14,-800,51490.6681029,2617078.24363,-1,1
14,-700,50582.009254,2586625.34434,-1,1
14,-600,55658.9875985,2771007.84826,-1,1
14,-500,66029.2096849,3226781.45278,-1,1
15,-2500,51490.6681029,2696098.00127,-1,1
15,-2400,54216.6446495,2755152.37425,-1,1
15,-2300,66029.2096849,3370809.7187,-1,1
15,-2200,67846.5273826,3392920.86418,-1,1
15,-2100,53307.9858006,2766171.81316,-1,1
15,-2000,52399.3269518,2703397.52501,-1,1
15,-1900,50582.009254,2652465.20535,-1,1
15,-1800,66937.8685338,3256572.73581,-1,1
15,-1700,54216.6446495,2628051.99351,-1,1
15,-1600,60577.2565916,3011529.97207,-1,1
15,-1500,65120.550836,3269213.66142,-1,1
15,-1400,68755.1862315,3388824.32684,-1,1
15,-1300,-8662.1852215,971798.453723,1,1
15,-1200,70572.5039293,3353997.07855,-1,1
15,-1100,73520.6919247,2989094.86195,-1,1
15,-1000,66937.8685338,3175827.69003,-1,1
15,-900,66029.2096849,3202129.43303,-1,1
15,-800,66937.8685345,3295880.64014,-1,1
15,-700,68755.1862315,3403333.04795,-1,1
15,-600,48418.7945416,2432231.11658,-1,1
15,-500,54216.6446495,2720410.66355,-1,1
16,-2500,63303.2349053,3162598.33134,-1,1
16,-2400,62394.5742894,3062302.09585,-1,1
16,-2300,47856.0327074,2438539.85537,-1,1
16,-2200,73459.0270661,1879917.65719,-1,1
16,-2100,66937.8685338,3284654.83124,-1,1
16,-2000,57851.280045,2865349.77011,-1,1
16,-1900,54216.6446495,2660003.90163,-1,1
16,-1800,48764.6915563,2508035.32647,-1,1
16,-1700,62394.5742894,3095839.31064,-1,1
16,-1600,46947.3738585,2462475.49749,-1,1
16,-1500,60577.2570052,3035600.48995,-1,1
16,-1400,71481.1627781,3634831.16925,-1,1
16,-1300,63303.2331383,3064399.26908,-1,1
16,-1200,64211.8919871,3188297.2089,-1,1
16,-1100,41495.4207653,2198732.6762,-1,1
16,-1000,54216.6446495,2784103.70728,-1,1
16,-900,67846.5273826,3318143.00801,-1,1
16,-800,61485.9154405,3132610.69786,-1,1
16,-700,61485.9154405,3089094.66334,-1,1
16,-600,52943.8808149,2736371.66843,-1,1
16,-500,61485.9154405,3120750.13286,-1,1
17,-2500,58759.9388939,2956061.98463,-1,1
17,-2400,57851.280045,2848423.11632,-1,1
17,-2300,55125.3034984,2826204.8286,-1,1
17,-2200,64211.8919871,3194623.75697,-1,1
17,-2100,75115.7981736,3606136.73139,-1,1
17,-2000,56033.9623473,2763579.45232,-1,1
17,-1900,66029.2096849,3247418.3771,-1,1
17,-1800,64211.8919871,3288745.92843,-1,1
17,-1700,61485.9154405,3220504.66144,-1,1
17,-1600,56033.9623473,2811496.12124,-1,1
17,-1500,68755.1862315,3307674.19145,-1,1
17,-1400,77841.7776317,3810128.79539,-1,1
17,-1300,60577.2565916,3112534.5211,-1,1
17,-1200,60577.2565916,2967515.80351,-1,1
17,-1100,57851.280045,2843811.7777,-1,1
17,-1000,50582.0092549,2557991.81393,-1,1
17,-900,66937.8685338,3354987.05998,-1,1
17,-800,60577.2565916,2988285.78075,-1,1
17,-700,58759.9388939,2904268.3811,-1,1
17,-600,67846.5273826,3380550.37383,-1,1
17,-500,64211.8919871,3226783.43314,-1,1
18,-2500,71481.1627781,3526559.10047,-1,1
18,-2400,55125.3034984,2802378.58889,-1,1
18,-2300,56033.9623473,2816366.15707,-1,1
18,-2200,67127.1281523,2308773.45215,-1,1
18,-2100,63303.2331383,3148665.53782,-1,1
18,-2000,59668.5977428,2967897.66174,-1,1
18,-1900,59668.5977428,3045028.383,-1,1
18,-1800,46038.7150096,2386570.67132,-1,1
18,-1700,60577.2565916,3006469.56816,-1,1
18,-1600,80567.7512669,3836928.43178,-1,1
18,-1500,75115.7981736,3601086.67859,-1,1
18,-1400,60577.2580686,2981714.19245,-1,1
18,-1300,66937.8685338,3302216.64221,-1,1
18,-1200,63303.2331383,3227228.15435,-1,1
18,-1100,60577.2565916,3160500.36582,-1,1
18,-1000,26517.4531187,2139715.38777,-1,1
18,-900,66937.8685338,3364209.03031,-1,1
18,-800,59973.5627842,3105808.13327,-1,1
18,-700,62394.5742954,2919570.28051,-1,1
18,-600,54216.6446495,2773821.09315,-1,1
18,-500,58759.9388939,3025373.82007,-1,1
19,-2500,67846.5273826,3328873.92278,-1,1
19,-2400,46947.3738585,2375436.40792,-1,1
19,-2300,48764.6915563,2422311.40968,-1,1
19,-2200,57851.280045,2933959.11294,-1,1
19,-2100,66937.8685338,3263281.25835,-1,1
19,-2000,61994.1569823,3077379.19159,-1,1
19,-1900,64963.0675017,2280215.12655,-1,1
19,-1800,65120.550836,3260081.08933,-1,1
19,-1700,56942.6211961,2838016.45249,-1,1
19,-1600,61485.9154405,3067613.22577,-1,1
19,-1500,38596.7588163,2701233.72241,-1,1
19,-1400,63303.2331383,3056654.43924,-1,1
19,-1300,60577.2565916,2994129.21295,-1,1
19,-1200,59278.9707213,2951019.24803,-1,1
19,-1100,58759.9388939,2961263.21338,-1,1
19,-1000,61485.9154405,3048779.06319,-1,1
19,-900,55125.3034984,2814190.88429,-1,1
19,-800,61485.9154549,3071953.54639,-1,1
19,-700,54216.6446495,2739511.6586,-1,1
19,-600,62394.5742894,3142379.11645,-1,1
19,-500,69775.9800392,3457196.78433,-1,1
20,-2500,49673.3504051,2554907.78693,-1,1
20,-2400,62394.5742894,3021306.36523,-1,1
20,-2300,55125.3034984,2850821.90499,-1,1
20,-2200,42404.0796141,2225469.54526,-1,1
20,-2100,58759.9388939,2972224.25004,-1,1
20,-2000,63303.2331383,3118447.05542,-1,1
20,-1900,76933.1158714,3689925.40438,-1,1
20,-1800,59668.5977428,2942088.5895,-1,1
20,-1700,52399.3269518,2676411.33084,-1,1
20,-1600,48764.6915563,2449367.99131,-1,1
20,-1500,69663.8450804,3463419.76977,-1,1
20,-1400,66937.8685338,3314906.18495,-1,1
20,-1300,57851.280045,2942887.65215,-1,1
20,-1200,66937.8685338,3320581.36875,-1,1
20,-1100,60577.2565916,2965017.72076,-1,1
20,-1000,75115.7981736,3750018.86576,-1,1
20,-900,64211.8919871,3212145.76543,-1,1
20,-800,58759.9388939,2953655.14797,-1,1
20,-700,72389.821627,3530038.73019,-1,1
20,-600,56713.3578057,2969641.56411,-1,1
20,-500,56942.6211961,2906680.9274,-1,1
21,-2500,73612.539792,3481527.09644,-1,1
21,-2400,45130.0561608,2478303.91976,-1,1
21,-2300,38769.4442186,2010241.69532,-1,1
21,-2200,58759.9388939,3035849.31785,-1,1
21,-2100,46947.3738585,2463833.95821,-1,1
21,-2000,67846.5273826,3389123.79282,-1,1
21,-1900,67846.5273826,3367058.93211,-1,1
21,-1800,69663.8450804,3465886.52173,-1,1
21,-1700,62394.5742894,3048960.38896,-1,1
21,-1600,62394.5742894,3161781.65103,-1,1
21,-1500,65120.550836,3256658.16198,-1,1
21,-1400,66029.2096849,3221770.51037,-1,1
21,-1300,63303.2331383,3126450.39042,-1,1
21,-1200,59668.5977428,3062644.97195,-1,1
21,-1100,50582.009254,2667529.54969,-1,1
21,-1000,56942.6211961,2867832.81153,-1,1
21,-900,50582.009254,2611192.95476,-1,1
21,-800,60577.2565916,3046943.94663,-1,1
21,-700,60577.2565916,3027604.27585,-1,1
21,-600,57851.280045,2926913.04149,-1,1
21,-500,38769.4442186,2108619.28469,-1,1
22,-2500,72389.821627,3519821.80344,-1,1
22,-2400,66937.8685338,3274669.38507,-1,1
22,-2300,67846.5273826,3375312.18556,-1,1
22,-2200,66281.3808741,3469276.90104,-1,1
22,-2100,53307.9859242,2751305.21558,-1,1
22,-2000,60577.2565916,3146358.43929,-1,1
22,-1900,54216.6446495,2786391.71111,-1,1
22,-1800,53307.9858006,2691306.67004,-1,1
22,-1700,66937.8837254,3398519.204,-1,1
22,-1600,46038.7150096,2411047.25323,-1,1
22,-1500,58759.9388939,2958779.76461,-1,1
22,-1400,56942.6211961,2799841.52983,-1,1
22,-1300,53307.9877587,2671642.41915,-1,1
22,-1200,61485.9154405,3070313.58053,-1,1
22,-1100,53307.9858006,2682938.17251,-1,1
22,-1000,66029.2096849,3270906.22962,-1,1
22,-900,59668.5977428,2981372.30014,-1,1
22,-800,64211.8919871,3215306.46703,-1,1
22,-700,54216.6446495,2689349.9772,-1,1
22,-600,62394.5750648,3098466.33099,-1,1
22,-500,47856.0327074,2397853.17061,-1,1
23,-2500,50582.009254,2546774.77706,-1,1
23,-2400,75115.7981736,3732203.85975,-1,1
23,-2300,57851.280045,2884588.3316,-1,1
23,-2200,64709.2312605,3167631.06151,-1,1
23,-2100,49673.3504051,2518518.45325,-1,1
23,-2000,65120.550836,3269950.16694,-1,1
23,-1900,46947.3738585,2419277.17264,-1,1
23,-1800,58759.9388939,2937312.54359,-1,1
23,-1700,42404.0796141,2204714.28242,-1,1
23,-1600,58759.9388939,2986139.5473,-1,1
23,-1500,66082.9275462,3259112.36869,-1,1
23,-1400,65120.550836,3172025.54275,-1,1
23,-1300,64709.224705,3215234.85502,-1,1
23,-1200,80567.7512669,3808556.87146,-1,1
23,-1100,67846.5273826,3297271.4845,-1,1
23,-1000,57851.280045,2911673.14785,-1,1
23,-900,58759.9388939,2988848.67763,-1,1
23,-800,59668.5977428,3107675.69158,-1,1
23,-700,56033.9623473,2801299.84994,-1,1
23,-600,64709.2310996,3293839.94536,-1,1
23,-500,67424.3024708,3372030.5849,-1,1
24,-2500,61485.9154405,3119596.76963,-1,1
24,-2400,49673.3504051,2569359.25717,-1,1
24,-2300,65120.550836,3228719.57293,-1,1
24,-2200,45130.0561608,2291304.22087,-1,1
24,-2100,50228.8045855,2588538.79776,-1,1
24,-2000,61485.9154405,3106969.54404,-1,1
24,-1900,78750.4335691,3712424.03348,-1,1
24,-1800,56942.6211961,2838488.68128,-1,1
24,-1700,53307.9858006,2702038.84512,-1,1
24,-1600,54216.6446495,2735620.95562,-1,1
24,-1500,65120.550836,3108368.15998,-1,1
24,-1400,59668.5977428,2940640.9633,-1,1
24,-1300,57851.280045,2919616.5398,-1,1
24,-1200,55125.3034984,2842221.04591,-1,1
24,-1100,70572.5039293,3377098.68613,-1,1
24,-1000,61485.9154405,3031321.36031,-1,1
24,-900,58759.9388939,2977656.80771,-1,1
24,-800,53307.9858006,2692425.17012,-1,1
24,-700,49323.8183897,2546050.81766,-1,1
24,-600,67846.5273829,3354502.33454,-1,1
24,-500,56942.6211961,2974757.9098,-1,1
25,-2500,42404.0796141,2223935.18066,-1,1
25,-2400,46947.3738585,2401289.81419,-1,1
25,-2300,71481.1627781,3485134.34559,-1,1
25,-2200,64211.8919871,3244836.95242,-1,1
25,-2100,68755.1862315,3310583.91139,-1,1
25,-2000,69663.8450804,3353462.52957,-1,1
25,-1900,64211.8919871,3195606.62585,-1,1
25,-1800,58759.9388939,2912341.79972,-1,1
25,-1700,67846.5273826,3388875.9145,-1,1
25,-1600,68755.1862315,3371172.01704,-1,1
25,-1500,67846.5273826,3398202.20032,-1,1
25,-1400,77841.7747202,3762708.15163,-1,1
25,-1300,59668.5977428,2931609.02598,-1,1
25,-1200,46038.7150096,2408496.88428,-1,1
25,-1100,65614.2545033,3165996.05267,-1,1
25,-1000,67846.5273826,3398373.88853,-1,1
25,-900,71481.1627781,3524863.62739,-1,1
25,-800,62394.5742894,3145613.82277,-1,1
25,-700,64211.8919871,3280553.95654,-1,1
25,-600,61089.1344098,3012633.57491,-1,1
25,-500,48764.6915563,2444678.23292,-1,1
